"NAME","DATE_INPUT","DATE_ARCHIVE","TASK","DESCRIPTION","VERSION","VERSION_DATE","STATUS","WIN","MAC","LIN","TYPE","OPEN_SOURCE","URL","URL_CHECK","CITATION"
"1","Luminescence","2018-12-31","","Luminescence data analysis","A collection of various R functions for the purpose of Luminescence
    dating data analysis. This includes, amongst others, data import, export,
    application of age models, curve deconvolution, sequence analysis and
    plotting of equivalent dose distributions.","0.8.6","","stable",TRUE,TRUE,TRUE,"r_package",TRUE,"https://CRAN.R-project.org/package=Luminescence",TRUE,"Kreutzer, S., Schmidt, C., Fuchs, M.C., Dietze, M., Fischer, M., Fuchs, M., 2012. Introducing an R package for luminescence dating analysis. Ancient TL 30, 1–8. http://ancienttl.org/ATL_30-1_2012/ATL_30-1_Kreutzer_p1-8.pdf"
"2","RCarb","2018-12-31","","Dose rate modelling","Translation of the 'MATLAB' program 'Carb' (Nathan and Mauz 2008 <doi:10.1016/j.radmeas.2007.12.012>; Mauz and Hoffmann 2014) for dose rate modelling for carbonate-rich samples in the context of trapped charged dating (e.g., luminescence dating) applications. ","0.1.2","","stable",TRUE,TRUE,TRUE,"r_package",TRUE,"https://CRAN.R-project.org/package=RCarb",TRUE,""
"3","RLumShiny","2018-12-31","","Plotting","A collection of 'shiny' applications for the R package
    'Luminescence'. These mainly, but not exclusively, include applications for
    plotting chronometric data from e.g. luminescence or radiocarbon dating. It
    further provides access to bootstraps tooltip and popover functionality and
    contains the 'jscolor.js' library with a custom 'shiny' output binding.","0.2.2","","stable",TRUE,TRUE,TRUE,"r_package",TRUE,"https://CRAN.R-project.org/package=RLumShiny",TRUE,"Burow, C., Kreutzer, S., Dietze, M., Fuchs, M.C., Fischer, M., Schmidt, C., Brückner, H., 2016. RLumShiny - A graphical user interface for the R Package ’Luminescence’. Ancient TL 34, 22–32. http://ancienttl.org/ATL_34-2_2016/ATL_34-2_Burow_p22-32.pdf"
"4","RLumModel","2018-12-31","","Modelling","A collection of functions to simulate luminescence signals in quartz and Al2O3 based on published models.","0.2.3","","stable",TRUE,TRUE,TRUE,"r_package",TRUE,"https://CRAN.R-project.org/package=RLumModel",TRUE,"Friedrich, J., Kreutzer, S., Schmidt, C., 2016. Solving ordinary differential equations to understand luminescence: “RLumModel”  an advanced research tool for simulating luminescence in quartz using R. Quaternary Geochronology 35, 88–100. doi: https://doi.org/10.1016/j.quageo.2016.05.004"
"5","numOSL","2018-12-31","","Luminescence data analysis","Package for optimizing regular numeric problems in optically stimulated luminescence 
        dating, such as: equivalent dose calculation, dose rate determination, growth curve fitting,
        decay curve decomposition, statistical age model optimization, and statistical plot visualization.","2.6","","stable",TRUE,TRUE,TRUE,"r_package",TRUE,"https://CRAN.R-project.org/package=numOSL",TRUE,"Peng, J., Dong, Z., Han, F., Long, H., Liu, X., 2013. R package numOSL: numeric routines for optically stimulated luminescence dating. Ancient TL 31, 41–48. http://ancienttl.org/ATL_31-2_2013/ATL_31-2_Peng_p41-48.pdf"
"6","BayLum","2018-12-31","","Chronological modelling","Bayesian analysis of luminescence data and C-14 age estimates. Bayesian models are based on the following publications: Combes, B. & Philippe, A. (2017) <doi:10.1016/j.quageo.2017.02.003> and Combes et al (2015) <doi:10.1016/j.quageo.2015.04.001>. This includes, amongst others, data import, export, application of age models and palaeodose model.","0.1.3","","stable",TRUE,TRUE,TRUE,"r_package",TRUE,"https://CRAN.R-project.org/package=BayLum",TRUE,"Philippe, A., Guérin, G., Kreutzer, S., 2019. BayLum - An R package for Bayesian analysis of OSL ages: An introduction. Quaternary Geochronology 49, 16–24. doi: https://doi.org/10.1016/j.quageo.2018.05.009"
"7","LumReader","2018-12-31","2019-01-28","Teaching","A series of functions to estimate the detection windows of a luminescence reader based on the filters and the photomultiplier (PMT) selected. These functions also allow to simulate a luminescence experiment based on the thermoluminesce (TL) or the optically stimulated luminescence (OSL) properties of a material","0.1.0","2017-01-27","ancient",TRUE,TRUE,TRUE,"r_package",TRUE,"https://CRAN.R-project.org/package=LumReader",TRUE,""
"8","TLdating","2018-12-31","","Luminescence data analysis","A series of function to make thermoluminescence dating using the MAAD or the SAR protocol.
    This package completes the R package \"Luminescence.\"","0.1.3","","stable",TRUE,TRUE,TRUE,"r_package",TRUE,"https://CRAN.R-project.org/package=TLdating",TRUE,"Strebler, D., Burow, C., Brill, D., Brückner, H., 2017. Using R for TL dating. Quaternary Geochronology 37, 97–107. doi: https://doi.org/10.1016/j.quageo.2016.09.001"
"9","tgcd","2018-12-31","","Luminescence data analysis","Deconvolving thermoluminescence glow curves according to the general-order 
        empirical expression or the semi-analytical expression derived from the one trap-
        one recombination (OTOR) model using a modified Levenberg-Marquardt algorithm. 
        It provides the possibility of setting constraints or fixing any of parameters. 
        It offers an interactive way to initialize parameters by clicking with a mouse 
        on a plot at positions where peak maxima should be located. The optimal estimate 
        is obtained by \"trial-and-error\". It also provides routines for simulating 
        first-order, second-order, and general-order glow peaks (curves).","2.0","","stable",TRUE,TRUE,TRUE,"r_package",TRUE,"https://CRAN.R-project.org/package=tgcd",TRUE,"Peng, J., Dong, Z., Han, F., 2016. tgcd: An R package for analyzing thermoluminescence glow curves. SoftwareX 1–9. doi: https://doi.org/10.1016/j.softx.2016.06.001"
"10","KMS","2018-12-31","","Modelling","Collection of functions to simulate kinetic models for quartz luminescence production","","Wed, 11 Jul 2018 01:41:12 GMT","stable",TRUE,TRUE,TRUE,"r_package",TRUE,"https://github.com/pengjunUCAS/KMS",TRUE,"Peng, J., Pagonis, V., 2016. Simulating comprehensive kinetic models for quartz luminescence using the R program KMS. Radiation Measurements 86, 63–70. doi: https://doi.org/10.1016/j.radmeas.2016.01.022"
"11","DRAC","2018-12-31","","Age calculation","Online dose rate and luminescence age calculator","1.2","","stable",TRUE,TRUE,TRUE,"web_service",TRUE,"http://www.aber.ac.uk/en/dges/research/quaternary/luminescence-research-laboratory/dose-rate-calculator/",TRUE,"Durcan, J.A., King, G.E., Duller, G.A.T., 2015. DRAC: Dose Rate and Age Calculator for trapped charge dating. Quaternary Geochronology 28, 54–61. doi: https://doi.org/10.1016/j.quageo.2015.03.012"
